qid,docno
16,06484272-3f88-43bc-8f88-9941c1629f84
16,068a8399-7fc4-43ee-ae19-2c79f4b59746
16,076a3d36-1097-41e4-9762-8aa7b6fa2025
16,090920bc-1e12-425f-8787-ad6d1a84d839
16,0a58b495-f2eb-4051-b2b0-61280a5411f2
16,1188dfac-5105-4e39-8534-abb370a61279
16,15fbf9a8-6e8c-4492-960e-cc5b4ece1a2a
16,16373a74-002f-47a0-9a3c-54c28470ab9b
16,1713c6de-8aea-4ef9-afe7-de7d529bad0f
16,1b59014a-8cb4-4823-84c4-1eb85368ab51
16,1d5bed54-e281-4172-bb7b-cd2db39ae442
16,2d378918-23b2-4e17-884b-c85f8fc28c91
16,32157e5b-9e57-4e04-8b47-b3219f26375e
16,364e3006-ab62-4234-902e-2c0615c9ddd2
16,374b2ada-70a0-498e-8011-3b09a56b8dba
16,45b44351-686c-49ab-88b9-a2755c40b06e
16,4bbd9781-71a1-4977-a8d7-58405444e129
16,50390d88-9f86-4573-b14d-94be195940ee
16,5560ac5d-8866-4e6e-b714-6fa659d017f3
16,562ef6fe-db39-4efc-9f94-15d942a0d28d
16,609947bc-cc3a-490b-9743-27300bae4220
16,6b3c916f-e195-4d2d-bc4f-086498b5d583
16,6e17e446-4c01-4040-b8f6-5aef58431839
16,7e6243d9-d64e-4428-b919-ba98369d59cf
16,860f77e4-c049-462d-9db2-bcd50f39b22f
16,8879b6b5-4d39-4eba-81a9-aa4adda3e982
16,88a9290a-4e7f-456e-bc65-36bd7af1d787
16,891826b5-78bf-4fb9-9bdf-c19868086a6b
16,8a220be1-f949-496b-98a1-b3fa03fee69d
16,8feed2d3-d150-451b-bc0c-81bf4a1ec33a
16,90e2aa7b-4e47-4e93-846f-7226ebe5325d
16,93dad044-409d-4a8d-a78f-265b9b3e5957
16,95f58f5a-a922-4406-a9a4-f33b655e50d0
16,96970925-d73f-4935-9ee4-154532d924a4
16,98f31bb3-56f6-4535-bc3d-c4ee26931045
16,994b23ca-a2bc-4f8e-9d5f-e832c7cf8271
16,9c9b5ede-f3b8-4b9e-9df4-d35b5eb9c2a7
16,a106928a-9521-4065-ac03-8bfea108b5e3
16,abbe35e7-742b-4c6c-ac1d-5d8a2ae73762
16,af9a45a9-8109-4d14-9da4-87e9145b4d5b
16,b082fa06-1c1c-4c04-90b9-32c4f7fdcdef
16,b18afa92-af29-46fb-8493-52b8d25224ea
16,b53f4994-2b38-41c1-bcbb-87c80d43430e
16,b5bbe9f1-a849-434e-b569-98f9f0f8f7e5
16,b71e2b75-9b92-4022-9e34-7e0e8ea973ba
16,bb4ae765-3497-41cf-ac8a-950e4cdf53ce
16,becbfd7f-6f94-4ab7-94f2-da4cd6edea86
16,bf4d02dd-686e-4632-8f56-5a3060d9929d
16,c0d07d9d-b265-46e7-907c-9b7cc321a40f
16,c15d98cd-4ac8-4172-a64e-efc3624345aa
16,c46b50bd-420f-4927-aabc-85b0e60aae2d
16,cf0db588-a76e-487c-b5cb-2836311164b3
16,d15034e8-a77d-4e16-a4de-83472cf19958
16,d3e1dda1-ced9-4114-8461-8955145acbc1
16,de4a3e03-e9a3-4681-8efa-f7fbd6426491
16,df41f2d6-9ea9-4c00-b0bb-2d93fcdf346f
16,e29daae1-75ae-4940-8952-d6e26256b2df
16,e49ae7d1-316c-4f8f-90c4-00c061a20bb8
16,ea45064e-379f-42de-b84b-317ade083afe
16,ea5e9606-e62f-4921-a474-883fba468447
16,ec9f677d-fc4f-4014-bc1d-375da3647205
16,f4cf5289-c391-4407-8e8d-5829c20934f1
16,fb9c47ea-a783-437b-9378-ae13cfc62b97
16,fdb8ba10-c480-4864-9b53-6f30cde8ed51
39,03019e75-41c7-40be-9131-7d2bc92ce8c9
39,05c8c07b-3982-4a75-a925-61ea881651a8
39,0838d01d-5b2c-4b8b-88b1-dd5cce7bb46f
39,0b849797-9b91-4e98-a6e0-8b07e7595dd7
39,104daf16-98d3-44c5-94a9-3e10e95b565f
39,12413aa2-6c01-44ec-b650-152cfd0b4b47
39,138fbc9a-aebc-4abb-b561-0eff5d7197d2
39,151332d6-7d2d-4252-ab98-0795ca6ca262
39,1a940f66-6b2e-4c50-9991-72194e501332
39,1a9895bf-d0dd-42ab-a106-4714c61ea0a1
39,233f498a-1197-48e0-93f8-bc9739be868a
39,24d492be-be26-4444-80b5-83e690e702a0
39,2a040f87-af9c-44e2-b112-391e75d13a28
39,2c83fa14-47ae-48d1-9653-1873da6ad3dd
39,2dd3c1fa-b330-4df3-ac3e-be4e25b30bcd
39,3124cb41-6926-4f0d-88a2-69d97faa0bfd
39,31d9144d-89d3-488a-acae-b6465a2691fd
39,32d8751b-bcad-4671-84bc-8b5972ebdb8c
39,34e77d6a-bfc3-4eb3-9db0-7899c14c203e
39,36d759f6-6cff-4058-a211-c6cd6a15082c
39,38b63925-2708-4f3c-87fa-998456e4aa13
39,3b3a73c0-e317-4be1-85da-b03255be96b2
39,3f74a090-4bf3-4b08-a981-55cddbea6945
39,41cffe78-5259-45e3-9ab3-93462b479f3c
39,42c04868-04d6-474e-b826-79775b25d567
39,44f0f70d-c22b-4292-a337-1f815eeb15e4
39,47ce359a-7cb7-466d-bf90-e6cd0601c691
39,4b5f7c46-8e02-4e82-a2a2-770fcb651594
39,4d5919ee-0cd8-412b-b195-b067ce35e415
39,54a1b969-8c5d-46c5-827b-aeae55edd5e3
39,57f11fc8-4e12-4232-9888-d27e60abdd49
39,5a8279f6-1ef4-42fe-97b7-c8740ff2a278
39,60484fd9-9ec0-4b53-9b2e-a58bb0f9868b
39,60f68cb5-7fa1-4c07-a1fd-5607108a298a
39,6631e6b8-b0f5-4be6-b63a-fa3587024972
39,69bf5e92-61e0-4f30-856d-3b395a4b7395
39,6a36720c-4c58-4ef8-b100-6c785e0a876f
39,6b52995a-ed5b-4466-aadd-df572b9d87df
39,71f0c782-cb9c-4aad-a2de-eb8685996354
39,72e2653e-6e10-437c-9e20-ab977e9bb043
39,742625a4-c89d-44b4-9b48-c57d1e1ebcc7
39,7786b4af-cc27-4220-8c57-a05639365ca6
39,78af2342-7e16-4232-8724-8a5f5d9d7e0b
39,837d1d4d-ea34-40d3-beec-5f9f6cdac551
39,838687b1-63fd-43a7-9ec1-3614e00d5754
39,89c69b1f-cf34-462e-a05f-ddce3aa04145
39,89e801e9-b8dd-42bd-a4fe-4b37590ab5f9
39,8bca9db4-90da-4b42-bb6f-24c15b2bcb9c
39,8c23b2f1-d2cf-4324-bd74-5db931f82f01
39,8d5b6415-4925-469c-b4c8-4d511e650cd5
39,9f14a3e3-01ef-4eb4-aa5f-80b834de7a45
39,a49ed3ef-65df-4bec-963e-846dd16a51e7
39,a52a0f50-7ee8-4cd1-b436-3993e8a411f7
39,a7e795e2-de93-4ab0-a11d-2cec235ffed9
39,ad05a30e-896f-4068-bf9c-881bb5100afb
39,af91bdf0-7655-4a57-b49e-9cd0123f7223
39,af9c822e-3cd6-4848-a377-8ccae8d6e7fe
39,afd8cdb2-7e0e-424b-9444-bdeabf02ed92
39,b7d2791a-5b6e-4574-826e-6e00ab538540
39,ba61a732-03f6-4293-b82b-b00ab116f02d
39,bb70fcf2-7cdf-499d-85cf-db3f02c702ac
39,bd56d535-55aa-4685-9f53-ad1dd4b0f3b5
39,c0f12e3a-035e-4ed6-b063-15d7f480cf28
39,c301a159-3be8-4f08-8336-ac4caa75919d
39,c3a13316-bbad-419d-809a-091a7cc0b7b0
39,c5420f8f-c24a-47ae-b01a-2a2433e35759
39,c5965cb3-66b1-4ef2-afe3-b5d8daf71bfd
39,ceb0d474-a7eb-449a-9cb0-a2d7f47f9694
39,cf75d3bf-8697-43d5-bcba-dbfc9af216f1
39,d11d2972-8596-43b6-986b-27499c4b2b99
39,d275c43d-0eca-400f-bc54-3a6a90185288
39,d5524923-0cc6-4f80-bc43-8cd0a88863e7
39,d61433cd-ff14-4bf4-a60f-b34dd43b2d8f
39,d81acb3e-10f1-44d1-b954-14c3a8d037eb
